feature,importance
Sex,0.18533196728182702
age_fare_ratio,0.03921404995222129
fare_per_person,0.031974943438281
Fare,0.0317058097537867
fare_log,0.02939358047309829
Age,0.027092858495596873
pclass_fare,0.025509540811518513
age_squared,0.025302229860815036
Embarked_S,0.021647440663915028
Pclass,0.014150361747542892
fare_bucket,0.01103727780850837
age_bucket,0.009552415822383595
family_fare,0.006105584273227899
Embarked_Q,0.004127670826408838
family_size,0.0024189929680522365
SibSp,0.002263216369107314
is_alone,0.0019637850209574324
Parch,0.0
